ID,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Kilo,Fuel,Brakes,Range,Speed,RPM,Accelerator pedal position,Engine fuel rate,ID,Date,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Kilo,Fuel,Brakes,Range,Speed,RPM,Accelerator pedal position,Engine fuel rate
14807426927,0,0,524,487,1049.36,477.36,2124,0.293387876,26.4399668,1168.207981,25.92906757,12.86215544,10020443580,2018/7/7,0,0,56,53,299.5,96.33,577,1.694927469,22.1876,805.8741538,10.8,7.367661538
14807427005,0,0,68,78,670.31,291.31,1378,1.241511926,21.33988095,999.9453226,22.38351905,11.39322363,10020443580,2018/7/8,0,0,0,0,278.12,68.97,252,1.37747076,26.66736999,799.8936077,10.74851138,7.614360771
14807427041,0,0,12,19,309.31,69.96,659,0.499916922,13.52023121,877.1694511,15.08377088,8.228341289,10020443613,2018/7/3,0,1,29,45,428.25,103.49,536,2.839502409,39.81373026,985.6206124,13.07094847,9.872516804
14807427208,0,0,18,25,649.15,174.38,3587.5,0.137964156,9.541246778,727.8140179,4.43201208,2.780688397,10020443613,2018/7/4,0,2,8,8,211.32,51.73,199,1.545079173,32.55594688,963.5957121,13.67350689,10.59640123
14807427246,3,0,360,374,860.24,144.95,2489.5,0.50226353,25.59569897,1368.054098,21.54860488,3.913136585,10020443613,2018/7/5,0,0,52,70,493.03,119.53,819,3.267616742,38.40173047,952.3995621,11.53453749,8.329474548
14807427248,0,0,253,226,569.81,79.99,621,0.388813471,32.56848253,1505.482582,33.06418516,5.65400859,10020443613,2018/7/6,0,0,1,1,11.71,5.26,60,0.041229023,4.659498911,560.9098361,2.406557377,2.584631148
14807427315,0,0,222,204,1756.19,983.7,2063,0.601931382,27.4601074,1179.683636,28.23615004,15.61943013,10020443613,2018/7/7,0,0,28,35,251.36,72.18,441,1.373736138,28.52814366,916.4413191,13.09330747,9.610378274
14807427402,0,0,41,42,148.8,58.75,466.5,0.032248151,6.510948905,861.2270012,9.388132218,4.148128236,10020443613,2018/7/8,0,4,19,18,893.02,287.74,1043,6.670685871,52.44048548,1109.847845,24.45051724,16.13612069
14807427854,0,0,94,103,702.53,353.71,1945,0.113595533,18.31907514,973.0455758,17.35728485,10.31373333,10020443638,2018/7/3,0,41,17,14,583.78,170.58,600,4.185336021,57.47890141,1219.560467,29.21000834,18.85054212
14807427886,4,63,87,55,1857.98,669.45,3312,7.267215373,38.92996927,1060.910071,20.83019449,15.97926054,10020443638,2018/7/4,0,0,1,2,22.14,6.26,45.5,0.087885086,6.039865952,719.0547945,5.682191781,4.743150685
